case,species,opponent,arena,weather,seed,seat,style,score,ticks,reason,own_hp,enemy_hp,casts,energy_spent,overflow,personality,decisions,distance,objective_distance,mean_energy,stationary_fraction,retreat_fraction,low_hp_decisions,low_hp_retreats,casts_1,casts_2,casts_3,casts_4,casts_5,damage,damage_taken,healed,shielded,control,model_checksum,opponent_checksum
31,31,8,1,0,2160000031,0,3,0,793,1,0,81,12,2229,0,STEADY,265,3.09706,2.61075,0.245649,0.207547,0.173585,47,8,3,4,0,1,4,35,132,0,12,9,e617ab48,0
31,31,8,1,0,2160000031,1,3,1,883,1,3,0,14,2416,0,STEADY,295,2.73636,2.31149,0.211224,0.176271,0.118644,102,23,5,5,0,0,4,116,129,0,0,0,e617ab48,0
32,32,9,2,0,2160000032,0,0,1,1274,1,57,0,23,4130,0,STEADY,425,3.14852,6.26755,0.11928,0.0423529,0.251765,0,0,20,0,1,1,1,155,64,0,0,77,e617ab48,0
32,32,9,2,0,2160000032,1,0,1,1379,1,20,0,24,4369,0,STEADY,460,2.73132,7.57651,0.132535,0.0413043,0.154348,141,31,21,1,1,0,1,149,101,0,0,19,e617ab48,0
33,33,10,3,0,2160000033,0,1,1,1642,1,34,0,26,4685,0,STEADY,548,3.62273,7.02679,0.252265,0.0711679,0.040146,454,12,20,3,1,0,2,124,118,0,0,50,e617ab48,0
33,33,10,3,0,2160000033,1,1,1,1633,1,31,0,27,4677,0,STEADY,545,3.49112,7.6877,0.167437,0.0293578,0.053211,29,19,21,0,2,0,4,124,121,0,0,15,e617ab48,0
34,34,11,4,0,2160000034,0,2,0,2192,1,0,117,41,6201,0,STEADY,731,4.38699,8.0421,0.115502,0.554036,0.146375,222,59,20,16,0,1,4,60,140,0,0,0,e617ab48,0
34,34,11,4,0,2160000034,1,2,0,775,1,0,6,12,1931,0,STEADY,259,2.74138,2.35804,0.196475,0.19305,0.123552,104,18,6,4,0,1,1,123,140,0,0,146,e617ab48,0
35,35,12,5,0,2160000035,0,3,0,348,1,0,79,9,1390,0,STEADY,116,4.42002,4.42307,0.323431,0.0344828,0.112069,1,0,3,4,0,1,1,32,101,0,0,0,e617ab48,0
35,35,12,5,0,2160000035,1,3,1,1279,1,32,0,22,3051,0,STEADY,427,2.22417,2.68925,0.125482,0.0562061,0.0749415,212,25,4,16,1,1,0,111,69,0,0,8,e617ab48,0
36,36,13,0,0,2160000036,0,0,0,1096,1,0,29,16,3044,0,STEADY,366,3.83079,6.68494,0.196727,0.188525,0.0382514,37,5,2,12,0,0,2,75,93,0,0,76,e617ab48,0
36,36,13,0,0,2160000036,1,0,0,1295,1,0,29,18,3467,0,STEADY,432,4.19498,6.02334,0.18753,0.145833,0.0231481,266,5,1,12,0,1,4,75,93,0,13,63,e617ab48,0
37,37,14,1,0,2160000037,0,1,1,713,1,1,0,13,2381,0,STEADY,238,2.60367,2.31373,0.220067,0.0798319,0.57563,69,24,10,0,2,0,1,113,149,0,0,63,e617ab48,0
37,37,14,1,0,2160000037,1,1,0,513,1,0,26,10,1811,0,STEADY,171,2.92004,2.17,0.277591,0.0526316,0.666667,43,39,8,0,1,0,1,87,150,0,0,40,e617ab48,0
38,38,15,2,0,2160000038,0,2,1,441,1,56,0,10,1850,0,STEADY,147,5.36172,3.08496,0.323864,0.639456,0.204082,0,0,4,4,0,1,1,118,48,0,0,74,e617ab48,0
38,38,15,2,0,2160000038,1,2,1,445,1,68,0,10,1870,0,STEADY,149,5.18216,3.28018,0.364443,0.704698,0.100671,0,0,5,3,1,1,0,118,36,0,0,37,e617ab48,0
39,39,16,3,0,2160000039,0,3,1,712,1,35,0,13,2362,0,STEADY,238,3.6524,1.91299,0.386176,0.264706,0.172269,11,0,6,1,2,4,0,115,79,0,18,167,e617ab48,0
39,39,16,3,0,2160000039,1,3,0,665,1,0,10,12,1960,0,STEADY,222,3.01528,2.52839,0.253437,0.0675676,0.103604,79,6,7,1,1,1,2,105,114,0,25,30,e617ab48,0
40,0,24,5,0,2160000040,0,1,1,1771,1,100,0,30,4339,0,STEADY,591,3.48415,4.98537,0.183785,0.172589,0.164129,0,0,17,12,0,0,1,125,13,0,0,0,e617ab48,0
40,0,24,5,0,2160000040,1,1,0,641,1,0,37,14,2200,0,STEADY,214,4.47073,3.52699,0.291257,0.219626,0.313084,37,33,7,5,1,1,0,88,113,0,0,229,e617ab48,0
41,1,25,0,0,2160000041,0,2,1,997,1,66,0,19,2839,0,STEADY,333,2.7301,1.86186,0.153291,0.453453,0.135135,0,0,12,4,0,1,2,104,70,0,32,122,e617ab48,0
41,1,25,0,0,2160000041,1,2,1,598,1,85,0,11,1776,0,STEADY,200,3.025,2.46696,0.225715,0.295,0.055,0,0,6,2,0,1,2,104,51,0,0,85,e617ab48,0
42,2,26,1,0,2160000042,0,3,0,607,1,0,15,10,2014,0,STEADY,203,4.61943,4.01902,0.273281,0.541872,0.152709,88,28,3,6,0,0,1,93,94,0,0,0,e617ab48,0
42,2,26,1,0,2160000042,1,3,1,1024,1,39,0,19,3419,0,STEADY,342,3.54536,2.49368,0.166635,0.350877,0.321637,0,0,2,16,0,0,1,108,55,0,0,0,e617ab48,0
43,3,27,2,0,2160000043,0,0,0,1716,1,0,90,26,4631,0,STEADY,572,3.65698,4.84838,0.14699,0.229021,0.0699301,100,16,24,1,0,1,0,55,106,0,15,97,e617ab48,0
43,3,27,2,0,2160000043,1,0,0,2700,3,40,100,38,6858,0,STEADY,900,2.90875,4.60592,0.105754,0.213333,0.0377778,165,4,36,1,0,1,0,45,66,0,15,94,e617ab48,0
44,4,28,3,0,2160000044,0,1,0,688,1,0,51,11,2192,0,STEADY,230,5.57652,2.91173,0.39177,0.373913,0.13913,15,0,0,7,1,1,2,60,136,13,0,170,e617ab48,0
44,4,28,3,0,2160000044,1,1,0,504,1,0,91,12,2017,0,STEADY,168,5.09316,2.60238,0.398363,0.458333,0,30,0,4,5,1,1,1,20,136,13,0,98,e617ab48,0
45,5,29,4,0,2160000045,0,2,1,1297,1,77,0,20,3068,0,STEADY,433,2.39384,1.87098,0.161367,0.30485,0.117783,0,0,15,2,0,2,1,102,64,0,9,87,e617ab48,0
45,5,29,4,0,2160000045,1,2,1,1114,1,74,0,15,2700,0,STEADY,372,2.89554,8.58321,0.182669,0.303763,0.182796,0,0,8,2,1,2,2,102,67,0,7,24,e617ab48,0
46,6,30,5,0,2160000046,0,3,0,1103,1,0,93,16,2947,0,STEADY,368,1.86342,2.52683,0.174209,0,0.100543,58,6,14,0,1,0,1,32,131,0,0,30,e617ab48,0
46,6,30,5,0,2160000046,1,3,1,2700,3,63,45,36,6369,0,STEADY,900,1.27647,2.37105,0.113367,0.0188889,0.105556,0,0,34,1,1,0,0,80,68,0,0,0,e617ab48,0
47,7,31,0,0,2160000047,0,0,1,928,1,4,0,13,2213,0,STEADY,310,1.90471,1.88879,0.157981,0.0645161,0.016129,202,1,8,3,1,1,0,141,96,0,0,71,e617ab48,0
47,7,31,0,0,2160000047,1,0,1,448,1,63,0,11,1760,0,STEADY,150,2.66407,5.61296,0.248273,0.08,0.04,0,0,6,3,1,1,0,141,37,0,0,34,e617ab48,0
48,8,32,1,0,2160000048,0,1,0,765,1,0,63,12,2336,0,STEADY,255,4.09665,4.81716,0.268835,0.203922,0.0745098,95,19,5,1,2,2,2,58,116,0,0,22,e617ab48,0
48,8,32,1,0,2160000048,1,1,1,1134,1,39,0,18,3292,0,STEADY,378,4.38837,4.6568,0.196246,0.227513,0,16,0,14,1,0,1,2,121,77,0,10,55,e617ab48,0
49,9,33,2,0,2160000049,0,2,1,1579,1,16,0,19,3621,0,STEADY,527,2.66878,5.24846,0.131131,0.0208729,0.0759013,319,17,4,9,1,0,5,152,145,12,0,0,e617ab48,0
49,9,33,2,0,2160000049,1,2,0,757,1,0,99,10,1980,0,STEADY,253,3.45225,4.28256,0.187692,0.0434783,0.134387,79,8,3,4,1,0,2,53,153,4,0,7,e617ab48,0
