case,species,opponent,arena,weather,seed,seat,style,score,ticks,reason,own_hp,enemy_hp,casts,energy_spent,overflow
136,16,14,1,1,1900000136,1,3,0,670,2,115,113,13,2720,0
137,17,15,2,2,1900000137,0,0,0,777,1,0,118,21,2480,0
137,17,15,2,2,1900000137,1,0,0,674,1,0,110,18,2240,0
138,18,16,3,0,1900000138,0,1,0,1184,1,0,115,21,3380,0
138,18,16,3,0,1900000138,1,1,0,1885,1,0,115,32,4810,0
139,19,17,4,1,1900000139,0,2,0,551,1,0,108,12,2340,0
139,19,17,4,1,1900000139,1,2,0,622,1,0,108,13,2510,0
140,20,18,5,2,1900000140,0,3,0,512,1,0,129,11,2090,0
140,20,18,5,2,1900000140,1,3,0,434,1,0,129,10,1920,0
141,21,19,0,0,1900000141,0,0,0,476,1,0,132,11,1840,0
141,21,19,0,0,1900000141,1,0,0,521,1,0,132,13,2080,0
142,22,20,1,1,1900000142,0,1,0,1411,1,0,62,27,5620,0
142,22,20,1,1,1900000142,1,1,0,1065,1,0,78,21,4420,0
143,23,21,2,2,1900000143,0,2,0,2216,1,0,124,48,6300,0
143,23,21,2,2,1900000143,1,2,0,710,1,0,124,17,2580,0
144,24,22,3,0,1900000144,0,3,0,872,2,125,175,20,2960,0
144,24,22,3,0,1900000144,1,3,0,867,2,125,175,20,2960,0
145,25,23,4,1,1900000145,0,0,0,1349,1,0,105,30,4060,0
145,25,23,4,1,1900000145,1,0,0,685,2,104,105,17,2500,0
146,26,24,5,2,1900000146,0,1,0,1594,2,51,125,35,4790,0
146,26,24,5,2,1900000146,1,1,0,1045,2,108,125,24,3420,0
147,27,25,0,0,1900000147,0,2,0,660,1,0,104,14,2620,0
147,27,25,0,0,1900000147,1,2,0,718,1,0,104,15,2790,0
148,28,26,1,1,1900000148,0,3,0,748,1,0,104,15,2890,0
148,28,26,1,1,1900000148,1,3,0,746,1,0,104,15,2890,0
149,29,27,2,2,1900000149,0,0,0,702,2,102,145,16,2480,0
149,29,27,2,2,1900000149,1,0,0,695,2,85,145,16,2680,0
150,30,28,3,0,1900000150,0,1,0,559,1,0,111,15,2130,0
150,30,28,3,0,1900000150,1,1,0,512,1,0,111,12,1860,0
151,31,29,4,1,1900000151,0,2,0,721,2,132,102,17,2610,0
151,31,29,4,1,1900000151,1,2,0,722,2,132,102,17,2610,0
152,32,30,5,2,1900000152,0,3,0,1182,1,0,125,22,4130,0
152,32,30,5,2,1900000152,1,3,0,720,1,0,125,14,2770,0
153,33,31,0,0,1900000153,0,0,0,661,1,0,132,12,2400,0
153,33,31,0,0,1900000153,1,0,0,894,1,0,132,19,3080,0
154,34,32,1,1,1900000154,0,1,0,413,1,0,121,11,1720,0
154,34,32,1,1,1900000154,1,1,0,409,1,0,121,11,1720,0
155,35,33,2,2,1900000155,0,2,0,1729,1,0,152,39,5070,0
155,35,33,2,2,1900000155,1,2,0,1652,1,0,152,37,4830,0
156,36,34,3,0,1900000156,0,3,0,702,1,0,140,14,2580,0
156,36,34,3,0,1900000156,1,3,0,708,1,0,140,11,2120,0
157,37,35,4,1,1900000157,0,0,0,1681,2,10,101,31,5720,0
157,37,35,4,1,1900000157,1,0,0,1124,2,94,101,21,4020,0
158,38,36,5,2,1900000158,0,1,0,806,1,0,93,16,2940,0
158,38,36,5,2,1900000158,1,1,0,1214,2,30,93,23,4130,0
159,39,37,0,0,1900000159,0,2,0,468,1,0,150,11,1880,0
159,39,37,0,0,1900000159,1,2,0,468,1,0,150,11,1880,0
160,0,5,2,2,1900000160,0,0,0,454,1,0,141,12,1850,0
160,0,5,2,2,1900000160,1,0,0,2288,1,0,141,50,6410,0
161,1,6,3,0,1900000161,0,1,0,2700,3,85,122,59,7410,0
161,1,6,3,0,1900000161,1,1,0,2700,3,85,122,59,7410,0
162,2,7,4,1,1900000162,0,2,0,316,1,0,100,7,1620,0
162,2,7,4,1,1900000162,1,2,0,447,1,0,100,9,1960,0
163,3,8,5,2,1900000163,0,3,0,1027,2,106,116,20,3630,0
163,3,8,5,2,1900000163,1,3,0,1023,2,106,116,20,3660,0
164,4,9,0,0,1900000164,0,0,0,1679,1,0,149,40,5360,0
164,4,9,0,0,1900000164,1,0,0,1537,1,0,149,37,5000,0
165,5,10,1,1,1900000165,0,1,0,691,2,125,124,16,2600,0
165,5,10,1,1,1900000165,1,1,0,908,2,70,124,21,3080,0
166,6,11,2,2,1900000166,0,2,0,1649,1,0,117,31,5530,0
166,6,11,2,2,1900000166,1,2,0,2000,1,0,117,37,6550,0
167,7,12,3,0,1900000167,0,3,0,397,1,0,111,11,1790,0
167,7,12,3,0,1900000167,1,3,0,782,1,0,111,19,2750,0
168,8,13,4,1,1900000168,0,0,0,504,1,0,104,13,1970,0
168,8,13,4,1,1900000168,1,0,0,437,1,0,104,12,1850,0
169,9,14,5,2,1900000169,0,1,0,839,2,149,113,19,2830,0
169,9,14,5,2,1900000169,1,1,0,1629,2,57,113,34,5060,0
170,10,15,0,0,1900000170,0,2,0,1633,1,0,118,31,5540,0
170,10,15,0,0,1900000170,1,2,0,957,1,0,118,19,3500,0
171,11,16,1,1,1900000171,0,3,0,956,1,0,115,22,3200,0
171,11,16,1,1,1900000171,1,3,0,887,1,0,115,20,2960,0
172,12,17,2,2,1900000172,0,0,0,548,1,0,114,13,2070,0
172,12,17,2,2,1900000172,1,0,0,392,1,0,110,10,1710,0
173,13,18,3,0,1900000173,0,1,0,773,1,0,129,16,2980,0
173,13,18,3,0,1900000173,1,1,0,671,1,0,129,14,2640,0
174,14,19,4,1,1900000174,0,2,0,759,2,64,132,17,2440,0
174,14,19,4,1,1900000174,1,2,0,757,2,113,132,18,2640,0
175,15,20,5,2,1900000175,0,3,0,1306,2,118,102,30,3930,0
175,15,20,5,2,1900000175,1,3,0,1272,2,118,90,29,3810,0
176,16,21,0,0,1900000176,0,0,0,476,1,0,124,10,2210,0
176,16,21,0,0,1900000176,1,0,0,684,1,0,124,13,2720,0
177,17,22,1,1,1900000177,0,1,0,619,1,0,175,17,2160,0
177,17,22,1,1,1900000177,1,1,0,571,1,0,175,15,2000,0
178,18,23,2,2,1900000178,0,2,0,1664,1,0,105,28,4290,0
178,18,23,2,2,1900000178,1,2,0,845,1,0,105,16,2730,0
179,19,24,3,0,1900000179,0,3,0,2700,3,56,125,49,8630,0
179,19,24,3,0,1900000179,1,3,0,2700,3,35,125,49,8630,0
180,20,25,4,1,1900000180,0,0,0,768,1,0,104,16,2940,0
180,20,25,4,1,1900000180,1,0,0,824,1,0,104,17,3110,0
181,21,26,5,2,1900000181,0,1,0,1020,1,0,108,23,3280,0
181,21,26,5,2,1900000181,1,1,0,1053,1,0,108,24,3400,0
182,22,27,0,0,1900000182,0,2,0,1271,1,0,145,24,5020,0
182,22,27,0,0,1900000182,1,2,0,914,1,0,145,18,3820,0
183,23,28,1,1,1900000183,0,3,0,580,1,0,107,14,2320,0
183,23,28,1,1,1900000183,1,3,0,433,1,0,95,11,1860,0
184,24,29,2,2,1900000184,0,0,0,672,2,29,102,14,2360,0
184,24,29,2,2,1900000184,1,0,0,669,2,77,102,15,2440,0
185,25,30,3,0,1900000185,0,1,0,470,1,0,125,12,1900,0
185,25,30,3,0,1900000185,1,1,0,470,1,0,125,12,1900,0
186,26,31,4,1,1900000186,0,2,0,1930,1,0,132,41,5780,0
186,26,31,4,1,1900000186,1,2,0,1201,1,0,132,25,3960,0
187,27,32,5,2,1900000187,0,3,0,812,2,135,121,16,2960,0
187,27,32,5,2,1900000187,1,3,0,894,2,122,121,18,3370,0
188,28,33,0,0,1900000188,0,0,0,396,1,0,130,9,1870,0
